curie,label,retrieved_at
HP:0040282,Frequent,2025-12-23T10:51:05.693299
HP:0040281,Very frequent,2025-12-23T10:51:05.693317
HP:0040284,Very rare,2025-12-23T10:51:05.693322
HP:0040280,Obligate,2025-12-23T10:51:05.693326
HP:0040285,Excluded,2025-12-23T10:51:05.693330
HP:0040286,Abnormal axial muscle morphology,2025-12-23T10:51:05.693334
HP:0040287,Axial muscle atrophy,2025-12-23T10:51:05.693339
HP:0040288,Nasogastric tube feeding,2025-12-23T10:51:05.693343
HP:0040289,Cyclically decreased total neutrophil count,2025-12-23T10:51:05.693347
HP:0040283,Occasional,2025-12-23T10:51:05.693351
HP:0002354,Memory impairment,2025-12-23T10:51:05.693355
HP:0002381,Aphasia,2025-12-23T10:51:05.693359
HP:0002186,Apraxia,2025-12-23T10:51:05.693363
HP:0009830,Peripheral neuropathy,2025-12-23T10:51:05.693366
HP:0001638,Cardiomyopathy,2025-12-23T10:51:05.693370
HP:0007710,Peripheral vitreous opacities,2025-12-23T10:51:05.693374
HP:0012378,Fatigue,2025-12-23T10:51:05.693378
HP:0001903,Anemia,2025-12-23T10:51:05.693382
HP:0002027,Abdominal pain,2025-12-23T10:51:05.693393
HP:0000953,Hyperpigmentation of the skin,2025-12-23T10:51:05.693397
HP:0001324,Muscle weakness,2025-12-23T10:51:05.693401
HP:0001824,Weight loss,2025-12-23T10:51:05.693405
HP:0002615,Hypotension,2025-12-23T10:51:05.693409
HP:0030083,Salt craving,2025-12-23T10:51:05.693412
HP:0004850,Recurrent deep vein thrombosis,2025-12-23T10:51:05.693416
HP:0001622,Premature birth,2025-12-23T10:51:05.693420
HP:0001873,Thrombocytopenia,2025-12-23T10:51:05.693424
HP:0100602,Preeclampsia,2025-12-23T10:51:05.693428
HP:0033505,Livedo reticularis,2025-12-23T10:51:05.693432
HP:0000823,Delayed puberty,2025-12-23T10:51:05.693436
HP:0000939,Osteoporosis,2025-12-23T10:51:05.693439
HP:0000815,Hypergonadotropic hypogonadism,2025-12-23T10:51:05.693443
HP:0000786,Primary amenorrhea,2025-12-23T10:51:05.693447
HP:0000147,Polycystic ovaries,2025-12-23T10:51:05.693451
HP:0000098,Tall stature,2025-12-23T10:51:05.693454
HP:0030828,Wheezing,2025-12-23T10:51:05.693458
HP:0012735,Cough,2025-12-23T10:51:05.693462
HP:0031352,Chest tightness,2025-12-23T10:51:05.693465
HP:0000961,Cyanosis,2025-12-23T10:51:05.693469
HP:0003546,Exercise intolerance,2025-12-23T10:51:05.693473
HP:0002360,Sleep disturbance,2025-12-23T10:51:05.693477
HP:0000739,Anxiety,2025-12-23T10:51:05.693480
HP:0000501,Glaucoma,2025-12-23T10:51:05.693484
HP:0000627,Posterior embryotoxon,2025-12-23T10:51:05.693488
HP:0002315,Headache,2025-12-23T10:51:05.693491
HP:0001945,Fever,2025-12-23T10:51:05.693495
HP:0000510,Rod-cone dystrophy,2025-12-23T10:51:05.693499
HP:0010442,Polydactyly,2025-12-23T10:51:05.693502
HP:0001956,Truncal obesity,2025-12-23T10:51:05.693506
HP:0001249,Intellectual disability,2025-12-23T10:51:05.693510
HP:0001263,Global developmental delay,2025-12-23T10:51:05.693514
HP:0000135,Hypogonadism,2025-12-23T10:51:05.693517
HP:0034315,Chronic cough,2025-12-23T10:51:05.693521
HP:0033709,Increased sputum production,2025-12-23T10:51:05.693525
HP:0002094,Dyspnea,2025-12-23T10:51:05.693529
HP:0002105,Hemoptysis,2025-12-23T10:51:05.693533
HP:0002205,Recurrent respiratory infections,2025-12-23T10:51:05.693536
HP:0001944,Dehydration,2025-12-23T10:51:05.693540
HP:0031274,Hypovolemic shock,2025-12-23T10:51:05.693544
HP:0002900,Hypokalemia,2025-12-23T10:51:05.693548
HP:0001942,Metabolic acidosis,2025-12-23T10:51:05.693551
HP:0003394,Muscle spasm,2025-12-23T10:51:05.693555
HP:0002878,Respiratory failure,2025-12-23T10:51:05.693559
HP:0002014,Diarrhea,2025-12-23T10:51:05.693563
HP:0004796,Gastrointestinal obstruction,2025-12-23T10:51:05.693568
HP:0001369,Arthritis,2025-12-23T10:51:05.693572
HP:0012219,Erythema nodosum,2025-12-23T10:51:05.693576
HP:0000554,Uveitis,2025-12-23T10:51:05.693580
HP:0002013,Vomiting,2025-12-23T10:51:05.693583
HP:0000967,Petechiae,2025-12-23T10:51:05.693587
HP:0000421,Epistaxis,2025-12-23T10:51:05.693591
HP:0002716,Lymphadenopathy,2025-12-23T10:51:05.693594
HP:0002240,Hepatomegaly,2025-12-23T10:51:05.693598
HP:0001882,Decreased total leukocyte count,2025-12-23T10:51:05.693602
HP:0001892,Abnormal bleeding,2025-12-23T10:51:05.693605
HP:0012819,Myocarditis,2025-12-23T10:51:05.693609
HP:0002202,Pleural effusion,2025-12-23T10:51:05.693614
HP:0031273,Shock,2025-12-23T10:51:05.693618
HP:0001252,Hypotonia,2025-12-23T10:51:05.693621
HP:0000821,Hypothyroidism,2025-12-23T10:51:05.693625
HP:0002870,Obstructive sleep apnea,2025-12-23T10:51:05.693629
HP:0001250,Seizure,2025-12-23T10:51:05.693632
HP:0000752,Hyperactivity,2025-12-23T10:51:05.693636
HP:0003326,Myalgia,2025-12-23T10:51:05.693640
HP:0012115,Hepatitis,2025-12-23T10:51:05.693646
HP:0001382,Joint hypermobility,2025-12-23T10:51:05.693650
HP:0001058,Poor wound healing,2025-12-23T10:51:05.693653
HP:0000563,Keratoconus,2025-12-23T10:51:05.693659
HP:0001634,Mitral valve prolapse,2025-12-23T10:51:05.693663
HP:0002020,Gastroesophageal reflux,2025-12-23T10:51:05.693667
HP:0000993,Molluscoid pseudotumors,2025-12-23T10:51:05.693671
HP:0000545,Myopia,2025-12-23T10:51:05.693674
HP:0000592,Blue sclerae,2025-12-23T10:51:05.693679
HP:0001954,Recurrent fever,2025-12-23T10:51:05.693682
HP:0002586,Peritonitis,2025-12-23T10:51:05.693686
HP:0002102,Pleuritis,2025-12-23T10:51:05.693690
HP:0011034,Amyloidosis,2025-12-23T10:51:05.693693
HP:0001876,Pancytopenia,2025-12-23T10:51:05.693697
HP:0004322,Short stature,2025-12-23T10:51:05.693701
HP:0005775,Multiple skeletal anomalies,2025-12-23T10:51:05.693704
HP:0001878,Hemolytic anemia,2025-12-23T10:51:05.693708
HP:0040319,Dark urine,2025-12-23T10:51:05.693712
HP:0003265,Neonatal hyperbilirubinemia,2025-12-23T10:51:05.693715
HP:0000980,Pallor,2025-12-23T10:51:05.693719
HP:0000836,Hyperthyroidism,2025-12-23T10:51:05.693723
HP:0000853,Goiter,2025-12-23T10:51:05.693727
HP:0001649,Tachycardia,2025-12-23T10:51:05.693730
HP:0001337,Tremor,2025-12-23T10:51:05.693734
HP:0000737,Irritability,2025-12-23T10:51:05.693738
HP:0200028,Pretibial myxedema,2025-12-23T10:51:05.693742
HP:0000952,Jaundice,2025-12-23T10:51:05.693746
HP:0002018,Nausea,2025-12-23T10:51:05.693749
HP:0002829,Arthralgia,2025-12-23T10:51:05.693753
HP:0000988,Skin rash,2025-12-23T10:51:05.693757
HP:0012450,Chronic constipation,2025-12-23T10:51:05.693760
HP:0001508,Failure to thrive,2025-12-23T10:51:05.693764
HP:0004387,Enterocolitis,2025-12-23T10:51:05.693768
HP:0002072,Chorea,2025-12-23T10:51:05.693772
HP:0100749,Chest pain,2025-12-23T10:51:05.693775
HP:0011675,Arrhythmia,2025-12-23T10:51:05.693779
HP:0002647,Aortic dissection,2025-12-23T10:51:05.693783
HP:0001297,Stroke,2025-12-23T10:51:05.693786
HP:0000093,Proteinuria,2025-12-23T10:51:05.693790
HP:0001279,Syncope,2025-12-23T10:51:05.693794
HP:0011149,Absence seizure with eyelid myoclonia,2025-12-23T10:51:05.693797
HP:0000992,Cutaneous photosensitivity,2025-12-23T10:51:05.693801
HP:0000509,Conjunctivitis,2025-12-23T10:51:05.693805
HP:0000750,Delayed speech and language development,2025-12-23T10:51:05.693809
HP:0000054,Micropenis,2025-12-23T10:51:05.693814
HP:0012126,Stomach cancer,2025-12-23T10:51:05.693818
HP:0002721,Immunodeficiency,2025-12-23T10:51:05.693821
HP:0004942,Aortic aneurysm,2025-12-23T10:51:05.693825
HP:0001166,Arachnodactyly,2025-12-23T10:51:05.693829
HP:0001083,Ectopia lentis,2025-12-23T10:51:05.693833
HP:0002650,Scoliosis,2025-12-23T10:51:05.693836
HP:0002107,Pneumothorax,2025-12-23T10:51:05.693840
HP:0000989,Pruritus,2025-12-23T10:51:05.693844
HP:0001257,Spasticity,2025-12-23T10:51:05.693847
HP:0100543,Cognitive impairment,2025-12-23T10:51:05.693851
HP:0003256,Abnormality of the coagulation cascade,2025-12-23T10:51:05.693855
HP:0000822,Hypertension,2025-12-23T10:51:05.693859
HP:0001510,Growth delay,2025-12-23T10:51:05.693862
HP:0000867,Secondary hyperparathyroidism,2025-12-23T10:51:05.693866
HP:0002653,Bone pain,2025-12-23T10:51:05.693870
HP:0006532,Recurrent pneumonia,2025-12-23T10:51:05.693874
HP:0003040,Arthropathy,2025-12-23T10:51:05.693877
HP:0001789,Hydrops fetalis,2025-12-23T10:51:05.693881
HP:0000488,Retinopathy,2025-12-23T10:51:05.693887
HP:0000365,Hearing impairment,2025-12-23T10:51:05.693891
HP:0000846,Adrenal insufficiency,2025-12-23T10:51:05.693895
HP:0000722,Compulsive behaviors,2025-12-23T10:51:05.693954
HP:0001300,Parkinsonism,2025-12-23T10:51:05.693960
HP:0002110,Bronchiectasis,2025-12-23T10:51:05.693964
HP:0000389,Chronic otitis media,2025-12-23T10:51:05.693968
HP:0001696,Situs inversus totalis,2025-12-23T10:51:05.693972
HP:0030812,Enlarged tonsils,2025-12-23T10:51:05.693976
HP:0030166,Night sweats,2025-12-23T10:51:05.693980
HP:0002015,Dysphagia,2025-12-23T10:51:05.693983
HP:0001962,Palpitations,2025-12-23T10:51:05.693987
HP:0000969,Edema,2025-12-23T10:51:05.693991
HP:0040311,Symmetric polyarthritis,2025-12-23T10:51:05.693995
HP:0005197,Generalized morning stiffness,2025-12-23T10:51:05.693998
HP:0100532,Scleritis,2025-12-23T10:51:05.694002
HP:0001701,Pericarditis,2025-12-23T10:51:05.694006
HP:0002719,Recurrent infections,2025-12-23T10:51:05.694010
HP:0000486,Strabismus,2025-12-23T10:51:05.694014
