curie,label,retrieved_at
MONDO:0004975,Alzheimer disease,2025-12-15T19:18:05.754732
MONDO:0007100,familial amyloid neuropathy,2025-12-15T19:18:05.754744
MONDO:0012268,AIDS,2025-12-15T19:18:05.754748
MONDO:0015128,primary adrenal insufficiency,2025-12-15T19:18:05.754750
MONDO:8000010,antiphospholipid syndrome,2025-12-15T19:18:05.754753
MONDO:0013301,aromatase deficiency,2025-12-15T19:18:05.754755
MONDO:0004979,asthma,2025-12-15T19:18:05.754758
MONDO:0019187,Axenfeld-Rieger syndrome,2025-12-15T19:18:05.754760
MONDO:0006670,bacterial meningitis,2025-12-15T19:18:05.754762
MONDO:0015229,Bardet-Biedl syndrome,2025-12-15T19:18:05.754765
MONDO:0004822,bronchiectasis,2025-12-15T19:18:05.754767
MONDO:0007250,camptodactyly of fingers,2025-12-15T19:18:05.754769
MONDO:0015766,cholera,2025-12-15T19:18:05.754772
MONDO:0005002,chronic obstructive pulmonary disease,2025-12-15T19:18:05.754774
MONDO:0005011,Crohn disease,2025-12-15T19:18:05.754776
MONDO:0005502,dengue disease,2025-12-15T19:18:05.754779
MONDO:0008608,Down syndrome,2025-12-15T19:18:05.754781
MONDO:0100135,Dravet syndrome,2025-12-15T19:18:05.754783
MONDO:0005737,Ebola hemorrhagic fever,2025-12-15T19:18:05.754785
MONDO:0020066,Ehlers-Danlos syndrome,2025-12-15T19:18:05.754788
MONDO:0007522,"Ehlers-Danlos syndrome, classic type",2025-12-15T19:18:05.754790
MONDO:0018088,familial Mediterranean fever,2025-12-15T19:18:05.754793
MONDO:0019391,Fanconi anemia,2025-12-15T19:18:05.754795
MONDO:0005775,G6PD deficiency,2025-12-15T19:18:05.754798
MONDO:0005364,Graves disease,2025-12-15T19:18:05.754800
MONDO:0005344,hepatitis B virus infection,2025-12-15T19:18:05.754802
MONDO:0018309,Hirschsprung disease,2025-12-15T19:18:05.754805
MONDO:0007739,Huntington disease,2025-12-15T19:18:05.754807
MONDO:0001302,hypertensive heart disease,2025-12-15T19:18:05.754809
MONDO:0005045,hypertrophic cardiomyopathy,2025-12-15T19:18:05.754811
MONDO:0015346,epilepsy with eyelid myoclonia,2025-12-15T19:18:05.754814
MONDO:0012727,mucocutaneous lymph node syndrome,2025-12-15T19:18:05.754816
MONDO:0006823,Klinefelter syndrome,2025-12-15T19:18:05.754819
MONDO:0005835,Lynch syndrome,2025-12-15T19:18:05.754821
MONDO:0007947,Marfan syndrome,2025-12-15T19:18:05.754823
MONDO:0850110,melanoma in congenital melanocytic nevus,2025-12-15T19:18:05.754826
MONDO:0002594,monkeypox,2025-12-15T19:18:05.754828
MONDO:0005301,multiple sclerosis,2025-12-15T19:18:05.754830
MONDO:0100163,COVID-19–associated multisystem inflammatory syndrome in children,2025-12-15T19:18:05.754833
MONDO:0019005,nephronophthisis,2025-12-15T19:18:05.754836
MONDO:0005233,non-small cell lung carcinoma,2025-12-15T19:18:05.754839
MONDO:0006544,erythema infectiosum,2025-12-15T19:18:05.754841
MONDO:0019234,peroxisome biogenesis disorder,2025-12-15T19:18:05.754844
MONDO:0008243,Pick disease,2025-12-15T19:18:05.754846
MONDO:0016575,primary ciliary dyskinesia,2025-12-15T19:18:05.754848
MONDO:0044884,tonsillar lymphoma,2025-12-15T19:18:05.754851
MONDO:0005149,pulmonary hypertension,2025-12-15T19:18:05.754853
MONDO:0008383,rheumatoid arthritis,2025-12-15T19:18:05.754855
MONDO:0014722,Roifman syndrome,2025-12-15T19:18:05.754863
MONDO:0005090,schizophrenia,2025-12-15T19:18:05.754866
MONDO:0007915,systemic lupus erythematosus,2025-12-15T19:18:05.754868
MONDO:0018076,tuberculosis,2025-12-15T19:18:05.754870
MONDO:0005147,type 1 diabetes mellitus,2025-12-15T19:18:05.754874
MONDO:0008661,vitiligo,2025-12-15T19:18:05.754876
MONDO:0005404,myalgic encephalomeyelitis/chronic fatigue syndrome,2025-12-15T19:18:05.754878
MONDO:0007038,Achoo syndrome,2025-12-15T19:18:05.754881
MONDO:0005081,preeclampsia,2025-12-15T19:18:05.754883
MONDO:0032780,"hypotonia, hypoventilation, impaired intellectual development, dysautonomia, epilepsy, and eye abnormalities",2025-12-15T19:18:05.754886
MONDO:0015924,pulmonary arterial hypertension,2025-12-15T19:18:05.754889
MONDO:0007864,angioosteohypertrophic syndrome,2025-12-15T19:18:05.754891
MONDO:0007444,"dermal Ridges, patternless",2025-12-15T19:18:05.754894
